,AAPL,MSFT,NVDA,JPM,GS,XOM,JNJ,AMZN,PG,GLD
Return,-0.33956549943577624,-0.9407274494444844,-0.2007947337854004,-0.4553205833525455,-0.34021414921104937,1.3293536740409881,0.5684760376418051,-0.40436097662840825,0.09755275635335534,0.13582093171553114
STD,0.24008424716692534,0.31767850756053845,0.3438600057576734,0.2431502680574045,0.33870810165692933,0.26054995440519624,0.1604548781328934,0.2921085527118201,0.207951254977464,0.4072346846339509
