,AAPL,MSFT,NVDA,JPM,GS,XOM,JNJ,AMZN,PG,GLD
Return,-0.3286793946442045,-0.8781697002278162,-0.06402579258207348,-0.44212463174051153,-0.3672442417896204,1.311106969371009,0.6181987350011736,-0.3418558640192177,0.11571996009001871,0.2686395115766281
STD,0.24002547722949963,0.31620856269455144,0.33732173834511786,0.24306499662684833,0.33845120708793075,0.260397785667838,0.15860994280459556,0.290511953069703,0.20776222408855707,0.40204465399739514
