Date,AAPL,MSFT,NVDA,JPM,GS,XOM,JNJ,AMZN,PG,GLD
2025-12-24,0.0053238158353827725,0.0024031254578502637,-0.0031711222062752453,0.009940825508377271,0.01005867201441668,-0.0016747081383741147,0.009719125698376407,0.001033882544133169,0.009149440540174192,-0.004134082564786756
2025-12-26,-0.0014973530252399003,-0.000635160515604416,0.010179710869091751,-0.0038277834570876745,-0.004106412925432568,-0.0009226990406068225,-0.000721886638696323,0.000602458846315379,0.0017301709676502686,0.011676735474757116
2025-12-29,0.0013168132449112857,-0.001250745693541444,-0.012124077899723362,-0.012686430073560073,-0.016382916677461612,0.011921760905148515,-0.0003371927521289564,-0.0019353042317807878,-0.001174458718604221,-0.0435283019531133
2025-12-30,-0.002483993295382736,0.0007801596803003186,-0.003612788112190568,-0.0010192214715990522,-0.008697848669055541,0.0038164833158684797,-0.003131614346345568,0.001982123671998126,-0.003596929976312113,0.0007275678386380324
2025-12-31,-0.004467601499789753,-0.007918308222643278,-0.005545422619901985,-0.0037104376223550117,-0.006128283391759526,-0.005372364402120411,0.0001933520695047708,-0.0073538531116630335,-0.005137132802483846,-0.006467991163222386
2026-01-02,-0.003126523879828924,-0.022083435687120456,0.012600514015812525,0.010117312264035005,0.04020482557026339,0.019195640550123683,0.0019328504221642895,-0.018715913643268745,-0.010606438023061049,0.004970859258759619
2026-01-05,-0.013837113287258118,-0.0001903375156925291,-0.003865526635683625,0.026299664062020334,0.03729462403371975,0.02209537934034156,-0.014661280671674048,0.028962461627345393,-0.010014806805971888,0.026313174195160993
2026-01-06,-0.018334308830022295,0.011970000253572977,-0.004677819899715829,0.00622474515381799,0.007412137102799976,-0.03438093107805096,0.002349376128803815,0.033768107781812384,-0.0032769412179168844,0.010813149047262716
2026-01-07,-0.00773747740562758,0.010365499243197629,0.009987125820996923,-0.022772766656026233,-0.015123423611905773,-0.0211483736149225,0.013184275288075531,0.0026148877348795008,-0.013365808116865274,-0.009559953917111952
2026-01-08,-0.004955108337700187,-0.011086551233978836,-0.021521859150629097,0.008563009248509168,-0.006577967193883372,0.037302772745044566,-0.008385973311859862,0.019581038977249277,0.02528250900525464,0.005522515913727544
2026-01-09,0.0012738954148727721,0.0024471834263524173,-0.000972775721840291,-0.0018193580398718767,0.0044392678401143915,0.01383125613815217,-0.006609915596588523,0.004425724253495522,0.0024023012580240977,0.007242001159325273
2026-01-12,0.0033928502238405045,-0.00438162996992264,0.000432793264901532,-0.014277505915046174,0.01125694504887309,-0.004654558982708945,0.02607761546752485,-0.003678565947722645,0.011207593897949453,0.018722729613168898
2026-01-13,0.0030738623692765366,-0.013642593572847694,0.004704209026523465,-0.04188109570983911,-0.012005636347059312,0.020237077718742835,0.018739232643366632,-0.0157016882298876,0.005436980270928871,-0.0014210408732292512
2026-01-14,-0.0041753602144793955,-0.023987065591537404,-0.01436954614122099,-0.009745895267871063,-0.00584133007703902,0.028923590340198313,0.022934686030920304,-0.024526018373191683,0.014628388060432984,0.010222226854541994
2026-01-15,-0.00673187624656213,-0.005921024377300688,0.02134988022026696,0.004514940301046266,0.0463078849384051,-0.008217983129173656,0.00466717806708461,0.006465239039753046,-0.011752623174320243,-0.006127660830587689
